 377 , 1510 , 2784 , 6392
 426 , 1650 , 2919 , 6424
 572 , 1801 , 3099 , 6675
 658 , 1923 , 3260 , 6849
 758 , 2042 , 3403 , 6988
 841 , 2169 , 3524 , 7134
1018 , 2304 , 3654 , 7272
1128 , 2429 , 3781 , 7412
2368 , 5475 , 3892 , 7541
2466 , 5547 , 4012 , 7663
2594 , 5727 , 4105 , 7780
2688 , 5854 , 4221 , 7886
2773 , 5960 ,10748 , 8011
4237 , 6066 ,10780 , 8121
4254 , 6187 ,10998 , 8225
4408 , 6330 ,11120 , 8350
4501 , 9076 ,11259 , 8454
4585 , 9239 ,11401 , 8556
4652 , 9415 ,11524 , 8698
4741 , 9556 ,11650 ,22157
6202 , 9676 ,11763 ,22173
6318 , 9797 ,11894 ,22411
6433 , 9898 ,12009 ,22566
6529 , 9997 ,18746 ,22718
6672 ,10126 ,18898 ,22848
6868 ,10236 ,19065 ,22999
8205 ,10362 ,19220 ,23110
8276 ,10489 ,19344 ,23250
   0 ,10705 ,19491 ,23341
   0 ,12831 ,19629 ,23468
   0 ,12922 ,19775 ,23580
   0 ,13109 ,19898 ,23689
   0 ,13234 ,26259 ,23804
   0 ,13348 ,26384 ,23923
   0 ,13457 ,26563 ,24062
   0 ,13577 ,26718 ,24254
   0 ,13692 ,26867 ,36689
   0 ,16652 ,27005 ,36726
   0 ,16766 ,27125 ,36937
   0 ,16937 ,27253 ,37075
   0 ,17074 ,34257 ,37256
   0 ,17189 ,34300 ,37428
   0 ,17290 ,34494 ,37593
   0 ,17403 ,34622 ,37730
   0 ,17516 ,34767 ,37895
   0 ,17645 ,34886 ,38019
   0 ,20324 ,34982 ,38184
   0 ,20431 ,35085 ,38305
   0 ,20596 ,35221 ,38434
   0 ,20710 ,41886 ,38531
   0 ,20809 ,42000 ,38651
   0 ,20955 ,42156 ,38773
   0 ,21069 ,42280 ,38866
   0 ,21204 ,42409 ,38995
