Time,Heat
0.009,0.231
0.024,0.635
0.036,1.04
0.055,1.617
0.103,1.993
0.17,2.296
0.255,2.498
0.394,2.7
0.527,2.787
0.673,2.931
0.794,2.989
1.048,3.09
1.327,3.09
1.594,3.119
1.809,3.119
