Time,Heat
0.058,0.101
0.085,0.26
0.115,0.404
0.176,0.534
0.218,0.621
0.285,0.708
0.352,0.765
0.406,0.794
0.491,0.794
0.594,0.809
0.691,0.809
0.818,0.794
1,0.78
1.139,0.78
1.309,0.78
1.455,0.78
1.6,0.78
1.721,0.78
1.894,0.794
