Time,Heat
0.028,0.108
0.049,0.388
0.061,0.712
0.08,1.144
0.098,1.338
0.116,1.964
0.135,2.396
0.153,2.719
0.171,3
0.202,3.216
0.22,3.496
0.269,3.647
0.349,3.777
0.398,3.734
0.483,3.734
0.599,3.734
0.74,3.734
0.905,3.777
1.113,3.799
1.425,3.842
1.633,3.863
1.899,3.95
